"Recipe Name","Yield","Total Time","Prep Time","Cook Time","Instruction"
"Healthified Broccoli Cheddar Soup","6 servings","40 min","15 min","25 min","Separate the stems and the florets from the broccoli.
 Trim and discard the bottom of the broccoli stems and peel the tough outer layers.
 Finely chop the stems and coarsely chop the florets and set aside separately.
Mist a large pot with nonstick cooking spray and heat over medium heat.
 Add the broccoli stems, onions and potatoes and cook, stirring, until softened, 7 to 10 minutes.
 Add the flour and cook, stirring, until lightly toasted, about 2 minutes.
 Stir in the broth and bring to a boil.
 Reduce the heat to maintain a simmer and continue to cook, stirring occasionally, until thickened and the vegetables are tender, 12 to 15 minutes.
Meanwhile, combine the reserved florets and 1/2 cup water in a small saucepan.
 Bring to a boil, cover and continue to steam until the florets are bright green and crisp-tender, about 5 minutes.
 Add the entire contents of the pot with the florets to the soup along with the nutmeg.
 Stir to combine and remove from the heat.
 Stir in the Cheddar, Worcestershire and milk.
 Season with salt and pepper.
 Garnish with the scallions."
"Hash Brown Casserole","10 servings","1 hr 20 min","15 min","1 hr 5 min","Preheat the oven to 375 degrees F.
 Coat a 9- by 13-inch baking dish with cooking spray.
Whisk together the yogurt, milk, sour cream and flour in a large bowl.
 Stir in the hash browns, 1/2 cup of the Cheddar, 2 teaspoons salt and 1/2 teaspoon pepper.
 Set aside.
Melt the butter in a large skillet over medium-high heat.
 Add the onions and cook, stirring often, until soft and lightly browned, about 10 minutes.
 Add the mushrooms and cook, stirring often, until the mushrooms are wilted and the onions begin to brown, about 10 minutes more.
 If the pan gets too hot, add a splash or two of water as needed.
 Stir in the garlic and cook for 1 minute.
 Stir the vegetables into the hash brown mixture to combine.
Spread the mixture evenly in the prepared dish.
 Sprinkle with the remaining 1/2 cup cheese, the breadcrumbs and nutmeg if using.
 Bake until a deep golden brown, about 45 minutes.
Sprinkle with parsley and serve."
"Pork Tenderloin with Seasoned Rub","4 servings","35 min","5 min","30 min","Preheat the oven to 450 degrees F.
In separate bowl mix dry ingredients such as garlic powder, oregano, cumin, coriander, thyme and salt.
 Stir mixture with a fork until all the ingredients are well combined and they form a seasoning.
 This will be used as a rub to ensure the pork is well seasoned throughout.
 Sprinkle the rub over the tenderloin with a dry hand, then rub the pork with the seasoning over both sides of the meat, pressing gently so the seasoning adheres well to the tenderloin.
In a large skillet over medium-high heat, add the olive oil and heat.
 Add the minced garlic and saute, stirring, for 1 minute.
 Put tenderloin in the pan and cook for about 10 minutes, searing each side using tongs to turn the meat.
 Transfer meat to a roasting pan and bake for 20 minutes.
 Slice and serve."
"Chicken and Broccoli Stir-Fry","4 servings","27 min","5 min","15 min","In a medium bowl, toss the chicken with the scallion whites, sugar, sesame oil, sherry, soy sauce, about half the garlic, half the ginger, 1 teaspoon of the cornstarch and 1 teaspoon salt.
 Marinate at room temperature for 15 minutes.
 Mix the remaining 1 tablespoon cornstarch with 1/3 cup water in a small bowl and reserve.
Heat a large nonstick skillet over high heat.
 Add 1 tablespoon of the vegetable oil and heat.
 Add the broccoli stems and stir-fry for 30 seconds.
 Add the florets and the remaining garlic and ginger, 2 tablespoons water, 1/4 teaspoon salt and some black pepper.
 Stir-fry until the broccoli is bright green but still crisp, about 2 minutes.
 Transfer to a plate.
Get the skillet good and hot again, and then heat the remaining 2 tablespoons vegetable oil.
 Add the chicken and red pepper flakes if using.
 Stir-fry until the chicken loses its raw color and gets a little brown, about 3 minutes.
 Add the hoisin sauce, return the broccoli to the pan and toss to heat through.
 Stir in the reserved cornstarch mixture and bring to a boil to thicken.
 Add more water if need to thin the sauce, if necessary.
 Taste and season with salt and pepper, if you like.
Mound the stir-fry on a serving platter or divide among 4 plates and garnish with sesame seeds; serve with rice."
"Roman-Style Chicken","6 servings","1 hr","20 min","40 min","Season the chicken with 1/2 teaspoon salt and 1/2 teaspoon pepper.
 In a heavy, large skillet, heat the olive oil over medium heat.
 When the oil is hot, cook the chicken until browned on both sides.
 Remove from the pan and set aside.
Keeping the same pan over medium heat, add the peppers and prosciutto and cook until the peppers have browned and the prosciutto is crisp, about 5 minutes.
 Add the garlic and cook for 1 minute.
 Add the tomatoes, wine, and herbs.
 Using a wooden spoon, scrape the browned bits off the bottom of the pan.
 Return the chicken to the pan, add the stock, and bring the mixture to a boil.
 Reduce the heat and simmer, covered, until the chicken is cooked through, about 20 to 30 minutes.
If serving immediately, add the capers and the parsley.
 Stir to combine and serve.
 If making ahead of time, transfer the chicken and sauce to a storage container, cool, and refrigerate.
 The next day, reheat the chicken to a simmer over medium heat.
 Stir in the capers and the parsley and serve."
"Guacamole","6 servings","1 hr 20 min","20 min","1 hr","In a large bowl place the scooped avocado pulp and lime juice, toss to coat.
 Drain, and reserve the lime juice, after all of the avocados have been coated.
 Using a potato masher add the salt, cumin, and cayenne and mash.
 Then, fold in the onions, tomatoes, cilantro, and garlic.
 Add 1 tablespoon of the reserved lime juice.
 Let sit at room temperature for 1 hour and then serve."
"Roasted Brussels Sprouts","6 servings","50 min","10 min","40 min","Preheat oven to 400 degrees F.
Cut off the brown ends of the Brussels sprouts and pull off any yellow outer leaves.
 Mix them in a bowl with the olive oil, salt and pepper.
 Pour them on a sheet pan and roast for 35 to 40 minutes, until crisp on the outside and tender on the inside.
 Shake the pan from time to time to brown the sprouts evenly.
 Sprinkle with more kosher salt ( I like these salty like French fries), and serve immediately."
"Oven-Baked Salmon","4 servings","20 min","5 min","15 min","Preheat the oven to 450 degrees F.
Season salmon with salt and pepper.
 Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle.
 Bake until salmon is cooked through, about 12 to 15 minutes.
 Serve with the Toasted Almond Parsley Salad and squash, if desired.
Mince the shallot and add to a small bowl.
 Pour the vinegar over the shallots and add a pinch of salt.
 Let sit for 30 minutes.
Roughly chop the capers, parsley and almonds and add to the shallots.
 Add the olive oil, tasting as you go.
 Mix again and adjust the seasonings."
"Chicken Saltimbocca","6 servings","35 min","15 min","20 min","Place the chicken cutlets flat on the work surface.
 Sprinkle the chicken with salt and pepper.
 Lay 1 slice of prosciutto atop each chicken cutlet.
Squeeze the frozen spinach to remove the excess water.
 Season the spinach with salt and pepper.
 In a small bowl, toss the spinach with 1 tablespoon of oil to coat.
Arrange an even, thin layer of spinach atop the prosciutto slices.
 Sprinkle the Parmesan evenly over each.
 Beginning at the short tapered end, roll up each chicken cutlet as for a jellyroll.
 Secure with a toothpick.
Heat the remaining 2 tablespoons of oil in a heavy large skillet over high heat.
 Add the chicken and cook just until golden brown, about 2 minutes per side.
 Add the chicken broth and lemon juice, and scrape the browned bits off the bottom of the pan with a wooden spoon.
 Bring the liquid to a boil.
 Reduce the heat to medium.
 Cover and simmer until the chicken is just cooked through, about 8 to 10 minutes.
 Transfer the chicken to a platter.
 Simmer the cooking liquid over high heat until it is reduced to about 2/3 cup, about 5 minutes.
 Season the cooking liquid with salt and pepper, to taste.
 Remove toothpicks from the chicken.
 Drizzle the reduced cooking liquid over the chicken and serve immediately."
"Lentil Soup","6 to 8 servings","1 hr 15 min","30 min","45 min","Place the olive oil into a large 6-quart Dutch oven and set over medium heat.
 Once hot, add the onion, carrot, celery and salt and sweat until the onions are translucent, approximately 6 to 7 minutes.
 Add the lentils, tomatoes, broth, coriander, cumin and grains of paradise and stir to combine.
 Increase the heat to high and bring just to a boil.
 Reduce the heat to low, cover and cook at a low simmer until the lentils are tender, approximately 35 to 40 minutes.
 Using a stick blender, puree to your preferred consistency.
 Serve immediately."
"Chicken Scampi Pasta","4 to 6 servings","25 min","25 min","25 min","Bring a large pot of salted water to a boil for the pasta.
 Sprinkle the chicken with some salt.
 Heat a large skillet over medium-high heat until hot, then add the oil.
 Working in 2 batches, brown the chicken until golden but not cooked through, 2 to 3 minutes per batch.
 Remove the chicken to a plate.
Melt 4 tablespoons of the butter in the skillet.
 Add the garlic and red pepper flakes and cook until the garlic just begins to turn golden at the edges, 30 seconds to 1 minute.
 Add the wine, bring to a simmer and cook until reduced by half, about 2 minutes.
 Remove from the heat.
Meanwhile, cook the pasta until very al dente, reserving 1 cup of the pasta water.
 Add the pasta and 3/4 cup pasta water to the skillet along with the chicken, lemon zest and juice and the remaining 4 tablespoons butter.
 Return the skillet to medium-low heat and gently stir the pasta until the butter is melted, adding the remaining 1/4 pasta water if the pasta seems too dry.
 Remove the skillet from the heat, sprinkle with the grated cheese and parsley and toss before serving."
"Pasta with Escarole, White Beans and Chicken Sausage","4 servings (serving size 2 cups)","25 min","25 min","25 min","Cook the pasta according to the directions on the package.
Heat the oil over a medium heat in a large, deep saute pan or 8-quart stockpot.
Saute the onion until soft and translucent, about 5 minutes.
Add the garlic and cook an additional 1 minute.
Stir in the sausage and cook until heated through and browned, about 4 minutes.
Add the escarole and cook until wilted, about 3 to 4 minutes.
Add the beans, 1 cup of chicken stock, sage and red pepper flakes and simmer until the mixture is heated through and liquid is slightly reduced.
Add the sausage-bean mixture to pasta and toss well, loosening with the additional 1/2 cup chicken stock if necessary.
 Season with freshly ground pepper and salt, to taste.
Divide among 4 pasta bowls and top with Parmesan cheese."
"Chicken Sausage, Pepper and Onion Pasta Fake-Bake","4 servings","35 min","10 min","25 min","Place a pot of water on the stove to boil for pasta.
 When the water boils, salt it and cook pasta to al dente, with a bite to it.
 Prick sausages with a fork.
 Place chicken sausages in a large skillet and add 1 inch of water.
 Add 1 tablespoon extra-virgin olive oil to the skillet, 1 turn of the pan.
 Bring water to a boil then reduce heat a little.
 Allow all the liquid to cook away then brown and crisp the casings, 5 to 6 minutes.
 Preheat broiler.
 While pasta and sausage cook, heat a deep skillet over medium heat with 2 tablespoons extra-virgin olive oil, 2 turns of the pan.
 Add the peppers, onions and garlic and season with salt and pepper.
 When the sausages are cooked through, slice them on an angle and add them to the peppers and onions.
 Cook together until peppers and onions are tender and sliced sausages are crisp at edges then deglaze the pan with white wine or chicken stock.
 Stir in crushed tomatoes and bring to a bubble, reduce heat to low.
 Drain rigatoni and return to warm pot.
 Add ricotta cheese, salt and pepper, parsley and basil and half of the Parmigiano, a couple of handfuls, stir to combine.
 To assemble the ""fake bake,"" place half the sausage, peppers, onions and sauce in the bottom of a flameproof baking dish.
 Top with all of the pasta and then the remaining sausage and sauce.
 Cover the top of the dish with the grated Parmigiano and place until broiler 2 minutes to brown cheese and set pasta."
"Jambalaya Pasta with Penne, Chicken, Shrimp and Andouille","4 to 6 servings","40 min","15 min","25 min","Fill a large, 1-gallon stock pot with a pasta insert, 3/4 full with water.
 Bring to a boil over high heat and season with salt to taste.
 Place the penne in the salted water and return to a boil, stirring occasionally.
 Cook the pasta until nearly al dente, 10 to 12 minutes.
 Drain and set aside, reserving 1 cup of the pasta cooking water.
While the pasta cooks, set a 14-inch saute pan over medium-high heat and add 1 tablespoon of the olive oil, swirl the pan to evenly coat with the oil.
 Season the shrimp with 2 teaspoons of the Essence and 1/8 teaspoon salt.
 Place the shrimp in the pan and sear for 1 minute per side.
 Remove the shrimp from the pan and set aside.
 Add another tablespoon of the olive oil to the saute pan and season the chicken breast with 2 teaspoons of the Essence and 1/8 teaspoon of the salt.
 Place the chicken breast in the pan and sear for 3 minutes, turning to ensure even browning.
 Remove the chicken from the pan and set aside with the seared shrimp.
Place the remaining tablespoon of olive oil in the saute pan and add the sausage, onions and bell peppers.
 Saute, stirring occasionally, until the sausage is lightly caramelized and the onions are translucent, about 3 minutes.
 Add the garlic to the pan and saute for 30 seconds.
 Add the chicken stock to the pan and scrape with a spoon to remove any browned bits that have formed in the bottom of the pan, about 30 seconds.
 Add the diced tomatoes, fresh thyme, the remaining tablespoon of Essence and 1/2 teaspoon salt and cook for 2 minutes.
 Add the heavy cream to the pan and cook an additional 2 minutes.
 Return the shrimp and chicken to the pan, as well as the nearly al dente pasta and the reserved 1 cup of pasta cooking water.
 Continue to cook the sauce and pasta, stirring occasionally, until the shrimp and chicken are cooked through, the pasta is al dente and most of the pasta cooking water has evaporated, about 3 minutes.
 Remove from the heat and add the basil and Parmesan.
 Toss to combine and serve while hot.
Combine all ingredients thoroughly.
Recipe from ""New New Orleans Cooking"", by Emeril Lagasse and Jessie TirschPublished by William Morrow, 1993."
"Herbed Chicken Marsala","4 servings","35 min","15 min","20 min","Place the chicken cutlets between 2 pieces of plastic wrap and pound with a meat mallet (or the flat side of a chef's knife) until about 1/3 inch thick.
 Sprinkle with 1/4 teaspoon salt and 1/4 teaspoon pepper.
Put the flour on a medium plate.
 Heat the oil in a large nonstick skillet over medium-high heat.
 Dredge the chicken in the flour to fully coat, shaking off any excess.
 Add the chicken to the skillet and fry until fully cooked and golden brown, about 4 minutes per side.
 Transfer to a platter and tent with foil to keep warm.
Add 1/2 cup of the broth, the sun-dried tomatoes and rosemary to any remaining drippings in the skillet and cook, stirring frequently, for 1 minute to plump the tomatoes.
 Add the mushrooms, 1/4 teaspoon salt and 1/2 teaspoon pepper and cook until the mushrooms are soft, about 5 minutes.
 Add the marsala and bring to a boil.
 Add the remaining 1/4 cup broth and the butter and simmer until the butter is fully melted, about 30 seconds.
Spoon the mushroom mixture and sauce over the chicken, sprinkle with the parsley and serve."
"Lemony Yogurt Pound Cake","8 servings","2 hr 5 min","15 min","1 hr","Preheat the oven to 350 degrees F.
 Coat an 8 1/2- by 4 1/2-inch loaf pan with baking spray.
 Whisk together the flour, baking powder and salt in a medium bowl.
 Put the sugar and lemon zest in another bowl and rub the lemon zest into the sugar with your fingers.
 Add the yogurt, milk, olive oil, vanilla, egg whites and whole egg and vigorously whisk until well blended.
 Add the flour mixture into the egg mixture and fold until just incorporated.
 Transfer to the prepared pan.
 Bake until a cake tester inserted in the center comes out clean, about 50 minutes.
 Cool in the pan on a wire rack for 5 minutes, and then unmold and cool to room temperature."
"Sloppy Joes","8 servings","30 min","15 min","15 min","Brown the meat and the onion in a large nonstick skillet over medium-high heat for 5 minutes, breaking up the meat into crumbles as it cooks.
 Pour the drippings out of the pan and discard.
 Add the garlic, jalapeno, and red pepper and cook 5 minutes more, stirring occasionally.
 Stir in the rest of the ingredients, reduce heat to low, and simmer for 5 minutes more.
 Place a half-cup scoop of the mixture onto each bun and serve."
"Pan-Seared Salmon with Kale and Apple Salad","4 servings","40 min","20 min","10 min","Bring the salmon to room temperature 10 minutes before cooking.
Meanwhile, whisk together the lemon juice, 2 tablespoons of the olive oil and 1/4 teaspoon salt in a large bowl.
 Add the kale, toss to coat and let stand 10 minutes.
While the kale stands, cut the dates into thin slivers and the apple into matchsticks.
 Add the dates, apples, cheese and almonds to the kale.
 Season with pepper, toss well and set aside.
Sprinkle the salmon all over with 1/2 teaspoon salt and some pepper.
 Heat the remaining 1 tablespoon oil in a large nonstick skillet over medium-low heat.
 Raise the heat to medium-high.
 Place the salmon, skin-side up in the pan.
 Cook until golden brown on one side, about 4 minutes.
 Turn the fish over with a spatula, and cook until it feels firm to the touch, about 3 minutes more.
Divide the salmon, salad and rolls evenly among four plates."
"Breakfast Casserole","6 servings","8 hr 55 min","15 min","8 hr","Heat a large nonstick skillet over medium heat.
 Add the turkey and scallions and cook, stirring to break up any large chunks, until browned and cooked through, about 10 minutes.
 Remove from heat and let cool slightly.
Whisk the eggs, egg whites, milk and 1/2 teaspoon each salt and pepper in a large bowl until combined.
 Add the cooked sausage, spinach, cheeses and bread and toss to distribute ingredients evenly.
Spray a 3-quart casserole dish with cooking spray.
 Spread the egg mixture evenly in the dish.
 Cover and refrigerate for at least 6 hours or preferably overnight.
Preheat the oven to 350 degrees F.
 Bake the casserole, uncovered, until set and lightly browned on top, about 30 minutes."
"Whole30 Bacon and Egg Cups","12 servings (1 egg cup)","45 min","45 min","25 min","Preheat the oven to 400 degrees F.
 Wrap 1 piece of bacon around the inside of each cup of a 12-cup muffin tin to create rings.
 Put 1 slice of potato on the bottom of each cup and divide the bell pepper pieces among the cups.
Bake until the fat starts to render from the bacon (it will bubble in the bottom of each cup) and the bacon begins to crisp and turn light brown on the top edges, 10 to 12 minutes.
Remove the tin from the oven and crack an egg into each cup, making sure the yolk is inside the bacon ring.
 Continue baking until the bacon is crisp, the egg whites are cooked through and the yolks are still runny, about 10 minutes longer.
 Run an offset spatula around the edges and remove to a platter.
 Sprinkle with the chives and serve with hot sauce if desired."
"Slow-Cooker Pork Tacos","about 8 servings","5 hr 36 min","25 min","5 hr 11 min","Put the ancho and pasilla chiles and the garlic in a bowl; add 2 to 3 tablespoons water.
 Microwave on high until soft and pliable, 2 to 3 minutes.
 Stem and seed the chiles; peel the garlic.
 Transfer the chiles and garlic to a blender.
Add the chipotles, onion, 2 tablespoons olive oil, honey, vinegar, 1 tablespoon salt and the oregano to the blender; puree until smooth.
 Heat the remaining 1 tablespoon oil in a large skillet over high heat; add the chile sauce and fry, stirring, until thick and fragrant, about 8 minutes.
 Pour in the broth and reduce until slightly thickened.
Season the pork all over with salt and pepper and transfer to a large slow cooker.
 Add the bay leaves and cinnamon stick, then pour in the sauce.
 Cover and cook on high until the meat is tender, about 5 hours.
 (Or cook the meat in a large Dutch oven, covered, for 1 hour 45 minutes at 350 degrees; uncover and cook 30 more minutes.
)Discard the bay leaves and cinnamon stick.
 Shred the pork with 2 forks; season with salt and pepper.
 Serve the shredded pork in the tortillas, along with toppings."
"Angel Food Cake","10 to 12 servings","55 min","20 min","35 min","Preheat oven to 350 degrees F.
In a food processor spin sugar about 2 minutes until it is superfine.
 Sift half of the sugar with the salt the cake flour, setting the remaining sugar aside.
In a large bowl, use a balloon whisk to thoroughly combine egg whites, water, orange extract, and cream of tartar.
 After 2 minutes, switch to a hand mixer.
 Slowly sift the reserved sugar, beating continuously at medium speed.
 Once you have achieved medium peaks, sift enough of the flour mixture in to dust the top of the foam.
 Using a spatula fold in gently.
 Continue until all of the flour mixture is incorporated.
Carefully spoon mixture into an ungreased tube pan.
 Bake for 35 minutes before checking for doneness with a wooden skewer.
 (When inserted halfway between the inner and outer wall, the skewer should come out dry).
Cool upside down on cooling rack for at least an hour before removing from pan."
"Blueberry Compote","1/2 cup, 8 servings","23 min","5 min","18 min","Combine 1 cup of the blueberries, water, sugar and lemon juice in a small saucepan.
 Cook over a medium heat for about 10 minutes.
 Add the rest of the blueberries and cook for 8 minutes more, stirring frequently.
 Serve warm."
"Roasted Cauliflower and Broccoli","8 servings (1 serving is 1 cup)","1 hr 15 min","15 min","1 hr","Preheat the oven to 375 degrees F.
Place cauliflower and broccoli into a 9 by 13 inch baking dish, toss with the olive oil, and sprinkle with salt.
 Cover the dish and bake for 1/2 hour.
 Remove the cover, stir and cook for 30 to 40 minutes more, until vegetables are tender and nicely browned, stirring occasionally."
"Buffalo Cauliflower with Blue Cheese Sauce","4 servings","1 hr 20 min","15 min","30 min","Preheat the oven to 400 degrees F.
For the cheese sauce: Whisk together the sour cream, blue cheese, milk, mayonnaise, 1/8 teaspoon salt and a few grinds of pepper in a small bowl.
 Cover and refrigerate until chilled, about 30 minutesFor the Buffalo cauliflower: Meanwhile, microwave the butter in a small microwave-safe bowl on high until melted.
 Whisk in the hot sauce and lemon juice and set aside.
Mix olive oil, 1/4 teaspoon salt and 1/2 cup water in a large bowl.
 Add the cauliflower and toss until well coated.
 Spread the cauliflower on a rimmed baking sheet and roast until beginning to brown and just tender, 20 to 25 minutes.
 Whisk the hot sauce mixture again, drizzle over the cauliflower and toss with tongs to coat.
 Roast the cauliflower until the sauce is bubbling and browned around the edges, 5 to 7 minutes more.
 Serve hot with the cheese sauce."